PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
09Ordenacao;0.5;16;16;100%;47;56;84%
09Ordenacao;0.4;16;16;100%;51;56;91%
09Ordenacao;0.4;16;16;100%;53;56;95%
09Ordenacao;0.4;16;16;100%;50;56;89%
09Ordenacao;0.3;16;16;100%;50;56;89%
09Ordenacao;0.3;16;16;100%;53;56;95%
09Ordenacao;0.3;16;16;100%;53;56;95%
09Ordenacao;0.2;16;16;100%;54;56;96%
09Ordenacao;0.2;16;16;100%;52;56;93%
09Ordenacao;0.2;16;16;100%;54;56;96%
09Ordenacao;0.1;16;16;100%;54;56;96%
09Ordenacao;0.1;16;16;100%;47;56;84%
09Ordenacao;0.1;16;16;100%;54;56;96%
09Ordenacao;0.0;16;16;100%;54;56;96%
09Ordenacao;0.0;16;16;100%;54;56;96%
09Ordenacao;0.0;16;16;100%;54;56;96%
11ListArray;0.7;11;12;92%;18;31;58%
11ListArray;0.7;12;12;100%;23;31;74%
11ListArray;0.7;11;12;92%;14;31;45%
11ListArray;0.8;11;12;92%;19;31;61%
11ListArray;0.8;11;12;92%;18;31;58%
11ListArray;0.9;11;12;92%;8;31;26%
11ListArray;0.9;12;12;100%;20;31;65%
11ListArray;1.0;12;12;100%;24;31;77%
11ListArray;1.0;11;12;92%;25;31;81%
11ListArray;0.6;11;12;92%;19;31;61%
11ListArray;0.6;11;12;92%;19;31;61%
11ListArray;0.6;12;12;100%;29;31;94%
11ListArray;0.5;11;12;92%;14;31;45%
11ListArray;0.5;12;12;100%;19;31;61%
11ListArray;0.4;11;12;92%;18;31;58%
11ListArray;0.4;11;12;92%;14;31;45%
11ListArray;0.4;11;12;92%;19;31;61%
11ListArray;0.3;11;12;92%;19;31;61%
11ListArray;0.3;11;12;92%;14;31;45%
11ListArray;0.3;11;12;92%;19;31;61%
11ListArray;0.2;11;12;92%;19;31;61%
11ListArray;0.2;11;12;92%;14;31;45%
11ListArray;0.2;11;12;92%;19;31;61%
11ListArray;0.1;11;12;92%;19;31;61%
11ListArray;0.1;11;12;92%;19;31;61%
11ListArray;0.1;11;12;92%;14;31;45%
11ListArray;0.0;11;12;92%;19;31;61%
11ListArray;0.0;11;12;92%;19;31;61%
11ListArray;0.0;11;12;92%;19;31;61%
12Lista;0.7;8;12;67%;14;23;61%
12Lista;0.7;12;12;100%;16;23;70%
12Lista;0.7;12;12;100%;16;23;70%
12Lista;0.8;12;12;100%;16;23;70%
12Lista;0.8;12;12;100%;17;23;74%
12Lista;0.8;12;12;100%;16;23;70%
12Lista;0.9;12;12;100%;16;23;70%
12Lista;0.9;12;12;100%;16;23;70%
12Lista;1.0;12;12;100%;17;23;74%
12Lista;0.6;12;12;100%;16;23;70%
12Lista;0.6;12;12;100%;16;23;70%
12Lista;0.6;12;12;100%;20;23;87%
12Lista;0.5;12;12;100%;16;23;70%
12Lista;0.5;12;12;100%;16;23;70%
12Lista;0.5;12;12;100%;16;23;70%
12Lista;0.4;12;12;100%;16;23;70%
12Lista;0.4;12;12;100%;16;23;70%
12Lista;0.4;12;12;100%;16;23;70%
12Lista;0.3;12;12;100%;16;23;70%
12Lista;0.3;12;12;100%;16;23;70%
12Lista;0.2;12;12;100%;16;23;70%
12Lista;0.2;12;12;100%;16;23;70%
12Lista;0.2;12;12;100%;16;23;70%
12Lista;0.1;12;12;100%;16;23;70%
12Lista;0.1;12;12;100%;16;23;70%
12Lista;0.1;12;12;100%;16;23;70%
12Lista;0.0;12;12;100%;16;23;70%
12Lista;0.0;12;12;100%;16;23;70%
12Lista;0.0;12;12;100%;16;23;70%
13Pilha;0.7;10;12;83%;24;31;77%
13Pilha;0.7;11;12;92%;24;31;77%
13Pilha;0.7;11;12;92%;24;31;77%
13Pilha;0.8;10;12;83%;24;31;77%
13Pilha;0.8;12;12;100%;25;31;81%
13Pilha;0.8;12;12;100%;25;31;81%
13Pilha;0.9;11;12;92%;27;31;87%
13Pilha;0.9;12;12;100%;22;31;71%
13Pilha;0.9;10;12;83%;24;31;77%
13Pilha;1.0;12;12;100%;25;31;81%
13Pilha;1.0;12;12;100%;25;31;81%
13Pilha;0.6;12;12;100%;25;31;81%
13Pilha;0.6;12;12;100%;29;31;94%
13Pilha;0.6;12;12;100%;25;31;81%
13Pilha;0.5;10;12;83%;24;31;77%
13Pilha;0.5;10;12;83%;24;31;77%
13Pilha;0.5;10;12;83%;24;31;77%
13Pilha;0.4;10;12;83%;24;31;77%
13Pilha;0.4;10;12;83%;24;31;77%
13Pilha;0.4;10;12;83%;24;31;77%
13Pilha;0.3;10;12;83%;24;31;77%
13Pilha;0.3;10;12;83%;24;31;77%
13Pilha;0.3;10;12;83%;24;31;77%
13Pilha;0.2;10;12;83%;24;31;77%
13Pilha;0.2;10;12;83%;24;31;77%
13Pilha;0.2;10;12;83%;24;31;77%
13Pilha;0.1;10;12;83%;24;31;77%
13Pilha;0.1;10;12;83%;24;31;77%
13Pilha;0.1;10;12;83%;24;31;77%
13Pilha;0.0;10;12;83%;24;31;77%
13Pilha;0.0;10;12;83%;24;31;77%
13Pilha;0.0;10;12;83%;24;31;77%
14Pilha;0.7;16;17;94%;24;31;77%
14Pilha;0.7;17;17;100%;24;31;77%
14Pilha;0.8;17;17;100%;24;31;77%
14Pilha;0.8;16;17;94%;25;31;81%
14Pilha;0.8;17;17;100%;27;31;87%
14Pilha;0.9;16;17;94%;26;31;84%
14Pilha;0.9;16;17;94%;24;31;77%
14Pilha;1.0;17;17;100%;24;31;77%
14Pilha;1.0;16;17;94%;26;31;84%
14Pilha;1.0;17;17;100%;29;31;94%
14Pilha;0.6;17;17;100%;24;31;77%
14Pilha;0.6;16;17;94%;24;31;77%
14Pilha;0.6;16;17;94%;24;31;77%
14Pilha;0.5;16;17;94%;24;31;77%
14Pilha;0.5;16;17;94%;24;31;77%
14Pilha;0.5;16;17;94%;24;31;77%
14Pilha;0.4;16;17;94%;24;31;77%
14Pilha;0.4;16;17;94%;24;31;77%
14Pilha;0.3;16;17;94%;24;31;77%
14Pilha;0.3;16;17;94%;24;31;77%
14Pilha;0.3;16;17;94%;24;31;77%
14Pilha;0.2;16;17;94%;24;31;77%
14Pilha;0.2;16;17;94%;24;31;77%
14Pilha;0.2;16;17;94%;24;31;77%
14Pilha;0.1;16;17;94%;24;31;77%
14Pilha;0.1;16;17;94%;24;31;77%
14Pilha;0.1;16;17;94%;24;31;77%
14Pilha;0.0;16;17;94%;24;31;77%
14Pilha;0.0;16;17;94%;24;31;77%
14Pilha;0.0;16;17;94%;24;31;77%
15Fila;0.7;18;19;95%;36;43;84%
15Fila;0.7;17;19;89%;29;43;67%
15Fila;0.7;19;19;100%;33;43;77%
15Fila;0.8;19;19;100%;30;43;70%
15Fila;0.8;19;19;100%;33;43;77%
15Fila;0.8;18;19;95%;27;43;63%
15Fila;0.9;19;19;100%;33;43;77%
15Fila;0.9;16;19;84%;28;43;65%
15Fila;1.0;17;19;89%;25;43;58%
15Fila;1.0;16;19;84%;29;43;67%
15Fila;0.6;19;19;100%;36;43;84%
15Fila;0.6;19;19;100%;34;43;79%
15Fila;0.6;17;19;89%;29;43;67%
15Fila;0.5;19;19;100%;29;43;67%
15Fila;0.5;17;19;89%;25;43;58%
15Fila;0.3;17;19;89%;30;43;70%
15Fila;0.3;17;19;89%;26;43;60%
15Fila;0.2;17;19;89%;27;43;63%
16Fila;0.7;22;23;96%;24;37;65%
16Fila;0.7;23;23;100%;24;37;65%
16Fila;0.8;23;23;100%;22;37;59%
16Fila;0.8;23;23;100%;25;37;68%
16Fila;0.9;16;23;70%;20;37;54%
16Fila;0.9;22;23;96%;24;37;65%
16Fila;0.9;23;23;100%;24;37;65%
16Fila;1.0;23;23;100%;25;37;68%
16Fila;0.6;23;23;100%;24;37;65%
16Fila;0.6;22;23;96%;21;37;57%
16Fila;0.6;22;23;96%;24;37;65%
16Fila;0.5;23;23;100%;24;37;65%
16Fila;0.5;22;23;96%;24;37;65%
16Fila;0.4;22;23;96%;24;37;65%
16Fila;0.4;22;23;96%;24;37;65%
16Fila;0.4;23;23;100%;24;37;65%
16Fila;0.3;22;23;96%;21;37;57%
16Fila;0.3;22;23;96%;21;37;57%
16Fila;0.3;22;23;96%;22;37;59%
16Fila;0.2;22;23;96%;21;37;57%
16Fila;0.2;22;23;96%;24;37;65%
16Fila;0.2;22;23;96%;22;37;59%
16Fila;0.1;22;23;96%;22;37;59%
16Fila;0.1;22;23;96%;21;37;57%
16Fila;0.1;22;23;96%;22;37;59%
16Fila;0.0;22;23;96%;21;37;57%
16Fila;0.0;22;23;96%;21;37;57%
16Fila;0.0;22;23;96%;21;37;57%
17Ordenacao;0.9;31;48;65%;38;139;27%
17Ordenacao;1.0;44;48;92%;77;139;55%
17Ordenacao;0.2;48;48;100%;72;139;52%
20Tabela;0.7;21;21;100%;35;57;61%
20Tabela;0.7;9;21;43%;5;57;9%
20Tabela;0.7;20;21;95%;40;57;70%
20Tabela;1.0;21;21;100%;46;57;81%
20Tabela;1.0;21;21;100%;36;57;63%
20Tabela;0.6;20;21;95%;36;57;63%
20Tabela;0.6;19;21;90%;32;57;56%
20Tabela;0.5;23;25;92%;40;57;70%
20Tabela;0.5;20;21;95%;37;57;65%
20Tabela;0.4;20;21;95%;27;57;47%
20Tabela;0.4;19;21;90%;38;57;67%
20Tabela;0.4;19;21;90%;38;57;67%
20Tabela;0.3;19;21;90%;38;57;67%
20Tabela;0.3;19;21;90%;31;57;54%
20Tabela;0.2;19;21;90%;38;57;67%
20Tabela;0.2;19;21;90%;39;57;68%
20Tabela;0.2;19;21;90%;38;57;67%
20Tabela;0.1;19;21;90%;38;57;67%
20Tabela;0.1;19;21;90%;38;57;67%
20Tabela;0.0;19;21;90%;38;57;67%
20Tabela;0.0;19;21;90%;38;57;67%
20Tabela;0.0;19;21;90%;38;57;67%
21ArvoreBinaria;0.7;21;48;44%;36;160;23%
21ArvoreBinaria;0.7;33;48;69%;68;160;43%
21ArvoreBinaria;0.8;24;48;50%;66;160;41%
21ArvoreBinaria;0.8;21;48;44%;36;160;23%
21ArvoreBinaria;0.9;23;48;48%;40;160;25%
21ArvoreBinaria;0.9;24;48;50%;59;160;37%
21ArvoreBinaria;0.9;34;48;71%;77;160;48%
21ArvoreBinaria;1.0;21;48;44%;36;160;23%
21ArvoreBinaria;1.0;28;48;58%;73;160;46%
21ArvoreBinaria;1.0;21;48;44%;36;160;23%
21ArvoreBinaria;0.6;33;48;69%;47;160;29%
21ArvoreBinaria;0.6;24;48;50%;72;160;45%
21ArvoreBinaria;0.6;33;48;69%;68;160;43%
21ArvoreBinaria;0.5;33;48;69%;59;160;37%
21ArvoreBinaria;0.5;33;48;69%;66;160;41%
21ArvoreBinaria;0.4;33;48;69%;66;160;41%
21ArvoreBinaria;0.4;33;48;69%;72;160;45%
21ArvoreBinaria;0.4;38;48;79%;79;160;49%
21ArvoreBinaria;0.3;33;48;69%;66;160;41%
21ArvoreBinaria;0.3;21;48;44%;36;160;23%
21ArvoreBinaria;0.3;33;48;69%;72;160;45%
21ArvoreBinaria;0.2;33;48;69%;66;160;41%
21ArvoreBinaria;0.2;23;48;48%;59;160;37%
21ArvoreBinaria;0.2;33;48;69%;66;160;41%
21ArvoreBinaria;0.1;34;48;71%;56;160;35%
21ArvoreBinaria;0.1;33;48;69%;72;160;45%
21ArvoreBinaria;0.1;33;48;69%;66;160;41%
21ArvoreBinaria;0.0;33;48;69%;72;160;45%
21ArvoreBinaria;0.0;33;48;69%;72;160;45%
21ArvoreBinaria;0.0;33;48;69%;66;160;41%
22TabelaHash;0.7;29;35;83%;42;89;47%
22TabelaHash;0.7;34;35;97%;50;89;56%
22TabelaHash;0.8;34;35;97%;49;89;55%
22TabelaHash;0.8;34;35;97%;49;89;55%
22TabelaHash;0.9;34;35;97%;50;89;56%
22TabelaHash;0.9;34;35;97%;48;89;54%
22TabelaHash;1.0;29;35;83%;42;89;47%
22TabelaHash;1.0;34;35;97%;49;89;55%
22TabelaHash;0.6;34;35;97%;49;89;55%
22TabelaHash;0.5;34;35;97%;49;89;55%
22TabelaHash;0.5;34;35;97%;49;89;55%
22TabelaHash;0.4;34;35;97%;49;89;55%
22TabelaHash;0.3;34;35;97%;58;89;65%
22TabelaHash;0.3;34;35;97%;58;89;65%
22TabelaHash;0.3;34;35;97%;50;89;56%
22TabelaHash;0.2;34;35;97%;48;89;54%
22TabelaHash;0.2;34;35;97%;48;89;54%
22TabelaHash;0.2;29;35;83%;54;89;61%
22TabelaHash;0.1;34;35;97%;49;89;55%
22TabelaHash;0.1;34;35;97%;49;89;55%
22TabelaHash;0.1;34;35;97%;47;89;53%
22TabelaHash;0.0;34;35;97%;49;89;55%
22TabelaHash;0.0;34;35;97%;48;89;54%
22TabelaHash;0.0;34;35;97%;48;89;54%
23TabelaHash;0.8;50;52;96%;89;166;54%
23TabelaHash;0.8;49;52;94%;95;166;57%
23TabelaHash;0.9;50;52;96%;102;166;61%
23TabelaHash;1.0;45;52;87%;55;166;33%
23TabelaHash;0.5;49;52;94%;90;166;54%
23TabelaHash;0.3;49;52;94%;92;166;55%
23TabelaHash;0.2;49;52;94%;121;166;73%
23TabelaHash;0.1;51;52;98%;95;166;57%
24Grafo;0.8;32;42;76%;86;143;60%
24Grafo;0.8;32;42;76%;84;143;59%
24Grafo;0.9;32;42;76%;84;143;59%
24Grafo;0.9;32;42;76%;82;143;57%
24Grafo;1.0;37;42;88%;73;143;51%
24Grafo;1.0;32;42;76%;82;143;57%
24Grafo;1.0;42;42;100%;98;143;69%
24Grafo;0.6;32;42;76%;85;143;59%
24Grafo;0.6;42;42;100%;88;143;62%
24Grafo;0.6;25;42;60%;53;143;37%
24Grafo;0.5;35;42;83%;71;143;50%
24Grafo;0.5;35;42;83%;71;143;50%
24Grafo;0.5;32;42;76%;82;143;57%
24Grafo;0.4;35;42;83%;71;143;50%
24Grafo;0.4;35;42;83%;71;143;50%
24Grafo;0.4;32;42;76%;82;143;57%
24Grafo;0.3;32;42;76%;81;143;57%
24Grafo;0.3;42;42;100%;99;143;69%
24Grafo;0.3;25;42;60%;53;143;37%
24Grafo;0.2;35;42;83%;71;143;50%
24Grafo;0.2;35;42;83%;71;143;50%
24Grafo;0.2;32;42;76%;84;143;59%
24Grafo;0.1;35;42;83%;71;143;50%
24Grafo;0.1;35;42;83%;71;143;50%
24Grafo;0.1;35;42;83%;71;143;50%
24Grafo;0.0;35;42;83%;71;143;50%
24Grafo;0.0;35;42;83%;71;143;50%
24Grafo;0.0;35;42;83%;71;143;50%
25Grafo;0.7;34;34;100%;71;109;65%
25Grafo;0.8;30;34;88%;62;109;57%
25Grafo;0.9;27;34;79%;69;109;63%
25Grafo;0.9;27;34;79%;68;109;62%
25Grafo;0.9;27;34;79%;68;109;62%
25Grafo;1.0;34;34;100%;83;109;76%
25Grafo;1.0;34;34;100%;84;109;77%
25Grafo;0.6;34;34;100%;83;109;76%
25Grafo;0.6;27;34;79%;70;109;64%
25Grafo;0.5;34;34;100%;84;109;77%
25Grafo;0.4;34;34;100%;83;109;76%
25Grafo;0.4;26;34;76%;61;109;56%
25Grafo;0.4;34;34;100%;83;109;76%
25Grafo;0.3;34;34;100%;82;109;75%
25Grafo;0.3;26;34;76%;67;109;61%
25Grafo;0.3;34;34;100%;83;109;76%
25Grafo;0.2;34;34;100%;73;109;67%
25Grafo;0.2;27;34;79%;68;109;62%
25Grafo;0.1;34;34;100%;73;109;67%
25Grafo;0.1;34;34;100%;83;109;76%
25Grafo;0.1;34;34;100%;73;109;67%
25Grafo;0.0;34;34;100%;83;109;76%
25Grafo;0.0;34;34;100%;83;109;76%
25Grafo;0.0;34;34;100%;83;109;76%
26Grafo;0.7;43;51;84%;75;127;59%
26Grafo;0.7;49;51;96%;67;127;53%
26Grafo;0.8;44;51;86%;76;127;60%
26Grafo;0.8;43;51;84%;76;127;60%
26Grafo;0.8;43;51;84%;75;127;59%
26Grafo;0.9;49;51;96%;84;127;66%
26Grafo;0.9;49;51;96%;84;127;66%
26Grafo;0.9;46;51;90%;79;127;62%
26Grafo;1.0;49;51;96%;92;127;72%
26Grafo;1.0;49;51;96%;73;127;57%
26Grafo;0.6;44;51;86%;61;127;48%
26Grafo;0.6;44;51;86%;82;127;65%
26Grafo;0.6;43;51;84%;74;127;58%
26Grafo;0.5;49;51;96%;93;127;73%
26Grafo;0.5;49;51;96%;89;127;70%
26Grafo;0.5;49;51;96%;89;127;70%
26Grafo;0.4;49;51;96%;91;127;72%
26Grafo;0.4;50;51;98%;93;127;73%
26Grafo;0.4;49;51;96%;91;127;72%
26Grafo;0.3;49;51;96%;76;127;60%
26Grafo;0.3;50;51;98%;93;127;73%
26Grafo;0.3;49;51;96%;90;127;71%
26Grafo;0.2;49;51;96%;90;127;71%
26Grafo;0.2;49;51;96%;76;127;60%
26Grafo;0.2;49;51;96%;76;127;60%
26Grafo;0.1;49;51;96%;91;127;72%
26Grafo;0.1;49;51;96%;76;127;60%
26Grafo;0.1;49;51;96%;91;127;72%
26Grafo;0.0;49;51;96%;76;127;60%
26Grafo;0.0;49;51;96%;76;127;60%
26Grafo;0.0;49;51;96%;76;127;60%
27Grafo;0.7;33;33;100%;82;108;76%
27Grafo;0.7;25;33;76%;65;108;60%
27Grafo;0.8;26;33;79%;56;108;52%
27Grafo;0.8;25;33;76%;65;108;60%
27Grafo;1.0;17;33;52%;41;108;38%
27Grafo;1.0;26;33;79%;68;108;63%
27Grafo;0.6;25;33;76%;66;108;61%
27Grafo;0.6;17;33;52%;47;108;44%
27Grafo;0.6;33;33;100%;72;108;67%
27Grafo;0.5;33;33;100%;84;108;78%
27Grafo;0.5;33;33;100%;83;108;77%
27Grafo;0.4;33;33;100%;82;108;76%
27Grafo;0.4;33;33;100%;71;108;66%
27Grafo;0.3;26;33;79%;68;108;63%
27Grafo;0.3;33;33;100%;77;108;71%
27Grafo;0.3;33;33;100%;82;108;76%
27Grafo;0.2;33;33;100%;81;108;75%
27Grafo;0.2;33;33;100%;82;108;76%
27Grafo;0.2;33;33;100%;77;108;71%
27Grafo;0.1;33;33;100%;84;108;78%
27Grafo;0.1;33;33;100%;82;108;76%
27Grafo;0.0;33;33;100%;83;108;77%
27Grafo;0.0;33;33;100%;83;108;77%
27Grafo;0.0;33;33;100%;82;108;76%
28BuscaEmLargura;0.7;33;33;100%;82;108;76%
28BuscaEmLargura;0.8;26;33;79%;67;108;62%
28BuscaEmLargura;1.0;33;33;100%;82;108;76%
28BuscaEmLargura;1.0;25;33;76%;59;108;55%
28BuscaEmLargura;1.0;26;33;79%;68;108;63%
28BuscaEmLargura;0.5;33;33;100%;82;108;76%
28BuscaEmLargura;0.4;33;33;100%;82;108;76%
28BuscaEmLargura;0.3;33;33;100%;81;108;75%
28BuscaEmLargura;0.2;13;33;39%;28;108;26%
28BuscaEmLargura;0.2;33;33;100%;84;108;78%
28BuscaEmLargura;0.2;33;33;100%;82;108;76%
28BuscaEmLargura;0.1;33;33;100%;83;108;77%
28BuscaEmLargura;0.1;33;33;100%;82;108;76%
28BuscaEmLargura;0.0;33;33;100%;83;108;77%
28BuscaEmLargura;0.0;33;33;100%;83;108;77%
28BuscaEmLargura;0.0;33;33;100%;83;108;77%
29Grafo;0.7;33;33;100%;83;108;77%
29Grafo;0.7;18;33;55%;49;108;45%
